Title,Link,Date,Views,File_name,Label
3 อาหารลดความดันโลหิตสูง ป้องกันเส้นเลือดสมองแตก,https://www.sanook.com/health/4609/,6 พ.ค. 65,"864,565",สุขภาพ_16.txt,สุขภาพ
9 วิธีแก้อาการสะอึก อย่างได้ผลภายในเวลาไม่กี่นาที,https://www.sanook.com/health/8653/,6 พ.ค. 65,"858,840",สุขภาพ_17.txt,สุขภาพ
สัญญาณเตือนโรคเบาหวาน จะมีอาการอย่างไร,https://www.sanook.com/health/2725/,8 ก.ค. 65,"848,472",สุขภาพ_18.txt,สุขภาพ
ประจำเดือนขาด มาไม่ปกติ เป็นเพราะอะไร ควรทำอย่างไร ?,https://www.sanook.com/health/19449/,22 ธ.ค. 62,"811,639",สุขภาพ_19.txt,สุขภาพ
5 อันตรายที่อาจเกิดขึ้นจากการกิน “ฟ้าทะลายโจร”,https://www.sanook.com/health/6417/,9 ก.ค. 64,"792,607",สุขภาพ_20.txt,สุขภาพ
10 อาหารลดความดันโลหิตสูง อาหารที่ควรทาน-เลี่ยง,https://www.sanook.com/health/1677/,6 พ.ค. 65,"788,638",สุขภาพ_21.txt,สุขภาพ
"วิธีเร่ง ""ประจำเดือน"" ให้มาเร็วขึ้น ปลอดภัย-ได้ผลจริง",https://www.sanook.com/health/19517/,30 ม.ค. 63,"782,931",สุขภาพ_22.txt,สุขภาพ
"9 ลักษณะ และสี ""อุจจาระ"" บอกโรค",https://www.sanook.com/health/3929/,4 ก.ย. 61,"755,069",สุขภาพ_23.txt,สุขภาพ
"รู้ไว้ใช่ว่า เป็น ""โรคหนองใน"" ห้ามปล่อยไว้ ต้องรักษา!",https://www.sanook.com/health/8541/,12 ก.ย. 62,"747,511",สุขภาพ_24.txt,สุขภาพ
เท้าบวม สัญญาณเบื้องต้นสารพัดโรคร้าย ควรทำอย่างไรเมื่อมีอาการเท้าบวม,https://www.sanook.com/health/2145/,20 พ.ค. 65,"719,843",สุขภาพ_25.txt,สุขภาพ
10 เมนูอาหารแคลอรี่ต่ำ อาหารลดน้ำหนัก ไม่เกิน 200 Kcal,https://www.sanook.com/health/4045/,6 ก.ค. 65,"684,826",สุขภาพ_26.txt,สุขภาพ
ยา “คาร์บอน” แก้ท้องเสีย กินอย่างไรให้ถูกต้อง?,https://www.sanook.com/health/14629/,14 เม.ย. 63,"610,149",สุขภาพ_27.txt,สุขภาพ
วิธีดูแลตนเองเมื่อเป็น โรคกระเพาะ,https://www.sanook.com/health/441/,8 ม.ค. 62,"595,521",สุขภาพ_28.txt,สุขภาพ
“ปอดติดเชื้อ” คืออะไร รักษาให้หายเป็นปกติได้หรือไม่?,https://www.sanook.com/health/3489/,10 ก.ค. 61,"586,879",สุขภาพ_29.txt,สุขภาพ
ยาคุมกำเนิด กินอย่างไรให้ถูกวิธี ป้องกันการตั้งครรภ์ได้แน่นอน,https://www.sanook.com/health/3473/,2 มิ.ย. 64,"585,105",สุขภาพ_30.txt,สุขภาพ
"""เจ็บหน้าอก"" สัญญาณอันตรายของหลายโรคร้าย",https://www.sanook.com/health/13093/,12 ต.ค. 61,"573,180",สุขภาพ_31.txt,สุขภาพ
"7 สัญญาณอันตราย ""ต่อมทอนซิลอักเสบ""",https://www.sanook.com/health/13341/,15 ธ.ค. 61,"559,297",สุขภาพ_32.txt,สุขภาพ
“คันเรื้อรัง” สัญญาณอันตรายของโรคร้ายที่คุณอาจคาดไม่ถึง,https://www.sanook.com/health/5733/,24 ธ.ค. 59,"534,276",สุขภาพ_33.txt,สุขภาพ
แผลในปากอาจไม่ใช่ร้อนใน แต่เป็น “มะเร็งช่องปาก”,https://www.sanook.com/health/6749/,22 ต.ค. 61,"529,095",สุขภาพ_34.txt,สุขภาพ
“น้ำมันมะกอก” ชนิดไหนใช้ทอด ผัด หรือทานกับสลัด?,https://www.sanook.com/health/4537/,6 ก.ค. 65,"524,785",สุขภาพ_35.txt,สุขภาพ
10 ปลาไทยราคาบ้านๆ โอเมก้า 3 สูงไม่แพ้แซลมอน,https://www.sanook.com/health/4021/,23 พ.ย. 61,"508,205",สุขภาพ_36.txt,สุขภาพ
รู้จัก 7 กลุ่มยาลดความดันโลหิตสูง ออกฤทธิ์-มีผลข้างเคียงอย่างไรบ้าง,https://www.sanook.com/health/11909/,16 ก.ค. 61,"496,888",สุขภาพ_37.txt,สุขภาพ
"9 วิธีลด ""ผื่นคัน"" บนผิวหนังอย่างรวดเร็ว",https://www.sanook.com/health/23425/,17 มิ.ย. 63,"486,858",สุขภาพ_38.txt,สุขภาพ
“ปัสสาวะบ่อย” สัญญาณ 8 โรคอันตรายที่อาจคาดไม่ถึง,https://www.sanook.com/health/8461/,25 ธ.ค. 60,"483,696",สุขภาพ_39.txt,สุขภาพ
ติ่งเนื้อ เกิดจากอะไร วิธีกำจัดติ่งเนื้อ และวิธีดูแลหากมีติ่งเนื้อ,https://www.sanook.com/health/2813/,23 พ.ค. 65,"483,559",สุขภาพ_40.txt,สุขภาพ
“ฝีในอวัยวะเพศ” กับสาเหตุของโรค พร้อมการรักษา และวิธีป้องกัน,https://www.sanook.com/health/13633/,22 พ.ย. 61,"470,840",สุขภาพ_41.txt,สุขภาพ
เป็นโรคไต กินอะไร? ห้ามกินอะไร?,https://www.sanook.com/health/7389/,5 พ.ย. 61,"465,636",สุขภาพ_42.txt,สุขภาพ
"""วิตามินบีรวม"" มีประโยชน์ในการป้องกันโรคอะไรได้บ้าง",https://www.sanook.com/health/12469/,24 ส.ค. 61,"465,465",สุขภาพ_43.txt,สุขภาพ
12 เรื่องที่คุณอาจไม่รู้เกี่ยวกับการ “บริจาคเลือด”,https://www.sanook.com/health/5209/,15 มิ.ย. 65,"464,815",สุขภาพ_44.txt,สุขภาพ
สังเกต 5 อาการ เสี่ยง “โรคซึมเศร้า”,https://www.sanook.com/health/4873/,21 ก.ย. 59,"455,572",สุขภาพ_45.txt,สุขภาพ
มะม่วงหาว มะนาวโห่ มีสรรพคุณทางยามากถึง 50 ประการ,https://www.sanook.com/health/7905/,19 ก.ค. 65,"453,209",สุขภาพ_46.txt,สุขภาพ
ควินัวคืออะไร กับ 5 ประโยชน์สุดเจ๋งที่หาไม่ได้ง่ายๆ ในพืชอื่น,https://www.sanook.com/health/3785/,7 ก.ค. 65,"448,990",สุขภาพ_47.txt,สุขภาพ
ร้อนในเกิดจากอะไร วิธีรักษาร้อนใน และป้องกันอย่างไร,https://www.sanook.com/health/4141/,5 พ.ค. 65,"447,372",สุขภาพ_48.txt,สุขภาพ
“เคพกูสเบอร์รี่” ผลไม้จากชาวดอย ต้านมะเร็ง-หลอดเลือดหัวใจตีบ,https://www.sanook.com/health/2865/,11 พ.ย. 61,"444,290",สุขภาพ_49.txt,สุขภาพ
5 พฤติกรรมเสี่ยง “หมอนรองกระดูกทับเส้นประสาท”,https://www.sanook.com/health/5293/,21 ธ.ค. 61,"440,332",สุขภาพ_50.txt,สุขภาพ
ฝีเกิดจากอะไร ทำไมถึงห้ามบีบ วิธีรักษาฝี อย่างไรถึงจะปลอดภัย,https://www.sanook.com/health/18245/,3 พ.ค. 65,"439,929",สุขภาพ_51.txt,สุขภาพ
10 ผลไม้แก้ “ท้องผูก” อยากท้องแฟ่บเมื่อไร จัดเลย!,https://www.sanook.com/health/3289/,29 ต.ค. 61,"436,481",สุขภาพ_52.txt,สุขภาพ
เตรียมตัว ก่อนฉีดวัคซีนโควิด-19 และหลังฉีดวัคซีนโควิด ควร-ไม่ควรทำอะไรบ้าง?,https://www.sanook.com/health/28625/,9 มิ.ย. 64,"435,662",สุขภาพ_53.txt,สุขภาพ
7 ประโยชน์ขั้นเทพของ “กระเจี๊ยบเขียว” ที่คุณอาจไม่รู้,https://www.sanook.com/health/4349/,30 ต.ค. 62,"434,646",สุขภาพ_54.txt,สุขภาพ
5 ข้อควรรู้ก่อนทาน “ทุเรียน” ทานไม่ระวังเสี่ยงเสียชีวิต,https://www.sanook.com/health/3441/,16 เม.ย. 61,"434,190",สุขภาพ_55.txt,สุขภาพ
4 สัญญาณอันตราย ได้เวลารักษา “รากฟัน”,https://www.sanook.com/health/7425/,26 มิ.ย. 61,"432,024",สุขภาพ_56.txt,สุขภาพ
ฟันคุดคืออะไร? ทำไมต้องผ่าฟันคุด? ไม่ผ่าได้ไหม?,https://www.sanook.com/health/6861/,30 ธ.ค. 62,"431,688",สุขภาพ_57.txt,สุขภาพ
ไขข้อสงสัย! บุหรี่ไฟฟ้า อันตรายกว่าบุหรี่จริงหรือไม่?,https://www.sanook.com/health/3169/,8 มิ.ย. 59,"427,889",สุขภาพ_58.txt,สุขภาพ
มีเสมหะในลำคอตลอดเวลา เสี่ยงโรคอันตราย,https://www.sanook.com/health/7757/,11 ก.ค. 61,"426,526",สุขภาพ_59.txt,สุขภาพ
น้ำมันปลา กับข้อควรระวังในการบริโภค,https://www.sanook.com/health/10445/,3 เม.ย. 61,"417,001",สุขภาพ_60.txt,สุขภาพ
"อาหารที่ควร-ไม่ควรกิน หากเสี่ยงเป็น ""โรคเกาต์""",https://www.sanook.com/health/5969/,2 มิ.ย. 62,"412,601",สุขภาพ_61.txt,สุขภาพ
"7 วิธีการหลีกเลี่ยงอาการ ""นอนกรน""",https://www.sanook.com/health/4717/,6 มี.ค. 61,"411,996",สุขภาพ_62.txt,สุขภาพ
ติดเชื้อในกระแสเลือด คืออะไร? อันตรายแค่ไหน?,https://www.sanook.com/health/1849/,30 มี.ค. 61,"411,819",สุขภาพ_63.txt,สุขภาพ
งูสวัด โรคผิวหนังที่รักษาได้ ด้วยสมุนไพรพื้นบ้านของไทย,https://www.sanook.com/health/3797/,24 พ.ค. 65,"411,469",สุขภาพ_64.txt,สุขภาพ
นอนกี่ชั่วโมง ถึงจะ “พอดี” กับ “อายุ”,https://www.sanook.com/health/7785/,22 เม.ย. 62,"407,809",สุขภาพ_65.txt,สุขภาพ
5 สัญญาณอันตราย “นิ่วในกระเพาะปัสสาวะ”,https://www.sanook.com/health/5985/,9 ต.ค. 60,"399,570",สุขภาพ_66.txt,สุขภาพ
8 สัญญาณอันตราย “โรคแพ้ภูมิคุ้มกันตัวเอง SLE ลูปัส หรือโรคพุ่มพวง”,https://www.sanook.com/health/7733/,21 ธ.ค. 61,"399,517",สุขภาพ_67.txt,สุขภาพ
"มี ""ประจำเดือน"" 2 ครั้ง ต่อเดือน ผิดปกติหรือเปล่า?",https://www.sanook.com/health/20005/,9 ก.ค. 63,"397,744",สุขภาพ_68.txt,สุขภาพ
5 อาหารบำรุงเลือด ป้องกันเลือดจาง,https://www.sanook.com/health/8493/,29 ส.ค. 62,"395,152",สุขภาพ_69.txt,สุขภาพ
7 พฤติกรรมทำร้าย “ไต” ทั้งที่ไม่ได้กินเค็มก็เป็นโรคไตได้,https://www.sanook.com/health/4761/,19 พ.ค. 65,"393,240",สุขภาพ_70.txt,สุขภาพ
10 อาหารต้านมะเร็ง ยิ่งทานยิ่งสตรอง!,https://www.sanook.com/health/2601/,11 เม.ย. 60,"392,463",สุขภาพ_71.txt,สุขภาพ
10 ประโยชน์ของ “ฟักทอง” ลดน้ำหนัก-เบาหวาน-มะเร็ง,https://www.sanook.com/health/6181/,11 ส.ค. 62,"392,209",สุขภาพ_72.txt,สุขภาพ
10 สาเหตุ “ตาแดง” แบบไหนหายได้เอง แบบไหนอันตราย,https://www.sanook.com/health/5661/,30 ต.ค. 61,"389,863",สุขภาพ_73.txt,สุขภาพ
8 วิธีระงับอารมณ์โกรธ ลดอารมณ์ร้อนได้เร็วทันใจ,https://www.sanook.com/health/5321/,12 พ.ย. 61,"387,647",สุขภาพ_74.txt,สุขภาพ
3 วิธีลดคอเลสเตอรอลง่ายๆ ใครๆ ก็ทำได้,https://www.sanook.com/health/7949/,17 ต.ค. 62,"386,691",สุขภาพ_75.txt,สุขภาพ
6 สาเหตุ “ผมร่วง” ที่คุณอาจไม่เคยรู้,https://www.sanook.com/health/6061/,18 ม.ค. 62,"385,063",สุขภาพ_76.txt,สุขภาพ
"""คันทวารหนัก"" จากเรื่องเล็กๆ สู่สัญญาณอันตรายของโรคร้าย",https://www.sanook.com/health/8097/,1 พ.ค. 61,"384,219",สุขภาพ_77.txt,สุขภาพ
รวมโรงพยาบาลตรวจโควิด-19 แบบ Drive Thru ไม่ถึง 10 นาทีเสร็จ,https://www.sanook.com/health/21505/,8 เม.ย. 64,"384,195",สุขภาพ_78.txt,สุขภาพ
7 อาหารโปรตีนไขมันต่ำ ทานแทน “อกไก่” เพื่อลดความอ้วน-เพาะกล้าม,https://www.sanook.com/health/11173/,19 เม.ย. 62,"381,233",สุขภาพ_79.txt,สุขภาพ
9 สัญญาณบอกโรคจาก “ประจำเดือน” ผิดปกติ,https://www.sanook.com/health/3069/,15 พ.ค. 62,"373,881",สุขภาพ_80.txt,สุขภาพ
ฝันว่าฆ่าคนตาย บอกอะไรเกี่ยวกับสุขภาพจิตของเราได้บ้าง?,https://www.sanook.com/health/11089/,18 ธ.ค. 62,"364,427",สุขภาพ_81.txt,สุขภาพ
ดอกคำฝอย กับ 10 ประโยชน์ดีๆ และข้อควรระวัง,https://www.sanook.com/health/5577/,9 ก.พ. 62,"362,638",สุขภาพ_82.txt,สุขภาพ
5 ผลไม้สำหรับผู้ป่วยเบาหวาน ทานได้น้ำตาลไม่สูง,https://www.sanook.com/health/4245/,22 ก.ค. 59,"360,531",สุขภาพ_83.txt,สุขภาพ
5 สัญญาณอันตราย ควรหยุดใส่ “คอนแทคเลนส์” ทันที,https://www.sanook.com/health/6301/,20 ต.ค. 61,"360,154",สุขภาพ_84.txt,สุขภาพ
“ท้องเสีย” ควร-ไม่ควรทานอาหารอะไรบ้าง?,https://www.sanook.com/health/12009/,22 ก.ค. 61,"354,768",สุขภาพ_85.txt,สุขภาพ
โรคมือเท้าปาก มีอาการอย่างไร และวิธีป้องกัน,https://www.sanook.com/health/3981/,29 มิ.ย. 59,"353,410",สุขภาพ_86.txt,สุขภาพ
คุณแม่มือใหม่ หัดใช้ “ที่ตรวจครรภ์” ให้ถูกต้อง,https://www.sanook.com/health/7921/,27 ก.ค. 60,"352,046",สุขภาพ_87.txt,สุขภาพ
ปวดท้องตรงไหน เป็นโรคอะไร?,https://www.sanook.com/health/3837/,16 มิ.ย. 59,"351,169",สุขภาพ_88.txt,สุขภาพ
5 โรคติดต่อทางเพศสัมพันธ์ พบมากไม่แพ้เอดส์,https://www.sanook.com/health/2315/,20 มิ.ย. 60,"348,878",สุขภาพ_89.txt,สุขภาพ
“ใบบัวบก” กับ 10 ประโยชน์ดีๆ ที่คุณอาจไม่เคยรู้ พร้อมวิธีทำน้ำใบบัวบก,https://www.sanook.com/health/8525/,14 มิ.ย. 61,"348,861",สุขภาพ_90.txt,สุขภาพ
ตัดขาแล้วจะเดินได้ไหม?,https://www.sanook.com/health/1953/,23 พ.ย. 58,"348,645",สุขภาพ_91.txt,สุขภาพ
"เหตุผล 3 ข้อ ""ห้าม"" ถอนหงอก",https://www.sanook.com/health/4385/,9 เม.ย. 62,"346,746",สุขภาพ_92.txt,สุขภาพ
10 ประโยชน์ และข้อควรระวังของ “รางจืด”,https://www.sanook.com/health/7549/,22 ส.ค. 61,"344,897",สุขภาพ_93.txt,สุขภาพ
แพ้ยา ทำอย่างไร มีอาการอย่างไร หายแพ้ได้หรือไม่,https://www.sanook.com/health/6625/,22 มี.ค. 60,"344,085",สุขภาพ_94.txt,สุขภาพ
7 ผลไม้ลดเบาหวาน น้ำตาลน้อย ทานเท่าไรก็ไม่อ้วน,https://www.sanook.com/health/3397/,27 ธ.ค. 60,"341,502",สุขภาพ_95.txt,สุขภาพ
8 อาการส่ออันตราย มีพยาธิในท้อง,https://www.sanook.com/health/7001/,5 ก.พ. 61,"341,397",สุขภาพ_96.txt,สุขภาพ
เป็นโรคไต ห้ามกินอะไร นอกจากเลี่ยงกินเค็ม?,https://www.sanook.com/health/5365/,23 ก.พ. 61,"341,293",สุขภาพ_97.txt,สุขภาพ
7 สัญญาณอันตราย “มะเร็งเต้านม”,https://www.sanook.com/health/8217/,29 ส.ค. 60,"339,985",สุขภาพ_98.txt,สุขภาพ
8 วิธีป้องกัน “เชื้อราในช่องคลอด” จัดไปก่อน “คัน”,https://www.sanook.com/health/5789/,17 ก.ค. 62,"336,252",สุขภาพ_99.txt,สุขภาพ
7 วิธีลดพุงให้แบนราบ ลดพุงเร่งด่วน ภายใน 7 วัน,https://www.sanook.com/health/8421/,20 พ.ค. 65,"336,242",สุขภาพ_100.txt,สุขภาพ
เทศกาลกินเจ อะไรกินได้ อะไรกินไม่ได้บ้าง?,https://www.sanook.com/health/1433/,15 ต.ค. 63,"333,864",สุขภาพ_101.txt,สุขภาพ
6 โรคร้ายถามหา ถ้า “ดื่มน้ำน้อย”,https://www.sanook.com/health/4557/,19 พ.ค. 65,"333,460",สุขภาพ_102.txt,สุขภาพ
6 ผลไม้สุดฮิต แคลอรี่สูงเทียบเท่าข้าว 1 จาน!,https://www.sanook.com/health/3497/,2 ส.ค. 61,"333,075",สุขภาพ_103.txt,สุขภาพ
ข้อควรระวัง ก่อนกิน “ยาแก้แพ้”,https://www.sanook.com/health/5929/,17 ก.ย. 61,"329,896",สุขภาพ_104.txt,สุขภาพ
′อาการหนาวใน′ จุดเริ่มโรคร้าย ผู้หญิงขี้หนาวพึงระวัง,https://www.sanook.com/health/2341/,6 ม.ค. 59,"328,696",สุขภาพ_105.txt,สุขภาพ
สีของ “ตกขาว” ของผู้หญิง บอกสุขภาพอะไรได้บ้าง?,https://www.sanook.com/health/17113/,3 พ.ค. 65,"322,965",สุขภาพ_106.txt,สุขภาพ
คุณมีไหม? “ขี้ไคลทอนซิล” สาเหตุกลิ่นปากรุนแรงไม่หาย,https://www.sanook.com/health/2841/,25 ส.ค. 60,"321,761",สุขภาพ_107.txt,สุขภาพ
10 ประโยชน์ที่คุณอาจไม่รู้ของ “สับปะรด”,https://www.sanook.com/health/4773/,26 ก.ค. 61,"318,023",สุขภาพ_108.txt,สุขภาพ
"""ปวดท้องหลังมีเซ็กส์"" เป็นสัญญาณบอกอันตรายหรือไม่ ?",https://www.sanook.com/health/19909/,21 ก.พ. 63,"313,179",สุขภาพ_109.txt,สุขภาพ
อันตรายไหม? หากบังเอิญเผลอกิน “เชื้อรา” เข้าสู่ร่างกาย,https://www.sanook.com/health/3909/,5 ต.ค. 61,"310,877",สุขภาพ_110.txt,สุขภาพ
10 ประโยชน์ดีๆ จาก “ดอกอัญชัน” ลดน้ำตาลในเลือด-ต้านมะเร็ง,https://www.sanook.com/health/4085/,23 ก.ค. 61,"308,677",สุขภาพ_111.txt,สุขภาพ
"""คีโตเจนิค"" กินไขมันลดอ้วน แต่กินไม่ถูกวิธีอาจยิ่งอ้วน",https://www.sanook.com/health/11373/,25 ต.ค. 62,"306,513",สุขภาพ_112.txt,สุขภาพ
อัปเดตปี 2564 ราคาค่าตรวจโควิด-19 ที่โรงพยาบาลแต่ละแห่ง,https://www.sanook.com/health/26639/,9 เม.ย. 64,"305,211",สุขภาพ_113.txt,สุขภาพ
ปวดกราม ปวดขากรรไกร สัญญาณอันตรายของวัยทำงาน,https://www.sanook.com/health/6065/,25 ม.ค. 60,"303,843",สุขภาพ_114.txt,สุขภาพ
หยุดก่อน! “น้ำผึ้ง” ทานเท่าไรถึงจะพอดี มีประโยชน์ต่อร่างกาย,https://www.sanook.com/health/3017/,22 มี.ค. 59,"303,313",สุขภาพ_115.txt,สุขภาพ
อาหารเป็นพิษ นานาวิธีรักษาและป้องกัน,https://www.sanook.com/health/413/,21 เม.ย. 58,"302,163",สุขภาพ_116.txt,สุขภาพ
เช็กระดับ “ความดันโลหิต” ตามข้อมูลใหม่จากสมาคมโรคหัวใจสหรัฐฯ,https://www.sanook.com/health/16353/,31 พ.ค. 62,"298,524",สุขภาพ_117.txt,สุขภาพ
9 วิธีลดกรดไหลย้อน รักษาได้ด้วยตัวเอง ไม่ต้องพึ่งยา,https://www.sanook.com/health/17837/,26 ก.ย. 62,"298,130",สุขภาพ_118.txt,สุขภาพ
7 สัญญาณอันตราย “กรวยไตอักเสบ”,https://www.sanook.com/health/5865/,23 ก.ค. 61,"295,491",สุขภาพ_119.txt,สุขภาพ
ทาสแมวต้องระวัง! “เชื้อราแมว” โรคผิวหนังจากสัตว์เลี้ยง ติดต่อสู่คนได้,https://www.sanook.com/health/12665/,3 ก.ย. 61,"295,004",สุขภาพ_120.txt,สุขภาพ
อาหารคีโต หรือคีโตเจนิค (Ketogenic Diet) คืออะไร ลดความอ้วนได้ไหม,https://www.sanook.com/health/15729/,6 พ.ค. 65,"294,908",สุขภาพ_121.txt,สุขภาพ
10 อาหารโซเดียมสูงปรี๊ด เสี่ยงไตพัง!,https://www.sanook.com/health/3269/,11 ก.ค. 65,"293,101",สุขภาพ_122.txt,สุขภาพ
อันตรายจาก “ดีท็อกซ์ลำไส้” ที่คุณอาจไม่เคยรู้,https://www.sanook.com/health/5097/,28 พ.ย. 61,"286,801",สุขภาพ_123.txt,สุขภาพ
"วิธีแก้ ""ปวดหัว"" สุดเจ๋ง ดูแลตัวเองได้ไม่ต้องพึ่งยา",https://www.sanook.com/health/13929/,19 ธ.ค. 61,"285,847",สุขภาพ_124.txt,สุขภาพ
"4 สัญญาณอันตราย ""นิ่วในถุงน้ำดี"" และวิธีการรักษา",https://www.sanook.com/health/1617/,21 ส.ค. 62,"284,477",สุขภาพ_125.txt,สุขภาพ
อันตรายของ “ป่าช้าเหงา” (หนานเฉาเหว่ย) สมุนไพรช่วยลดน้ำตาลในเลือด ทานมากอาจช็อกเสียชีวิต,https://www.sanook.com/health/12957/,27 ธ.ค. 61,"284,232",สุขภาพ_126.txt,สุขภาพ
ทำความเข้าใจผู้ป่วยโรคไบโพลาร์ หรือคนสองบุคลิก ให้ชัดเจนขึ้น,https://www.sanook.com/health/2501/,15 มิ.ย. 65,"284,201",สุขภาพ_127.txt,สุขภาพ
ปวดหัว อาการปวดหัวแบบไหน ถึงเรียกว่า “ผิดปกติ”,https://www.sanook.com/health/5489/,5 พ.ค. 65,"282,438",สุขภาพ_128.txt,สุขภาพ
"อันตราย! หากคิดอยาก ""ฝ่าไฟแดง""",https://www.sanook.com/health/3645/,23 พ.ย. 61,"279,489",สุขภาพ_129.txt,สุขภาพ
รวมสุดยอดวิธีลดความอ้วนที่ไม่ได้ผล (แต่ฮิตมาก),https://www.sanook.com/health/481/,23 เม.ย. 58,"277,355",สุขภาพ_130.txt,สุขภาพ
รับมืออย่างไรในสังคม Bully,https://www.sanook.com/health/18825/,19 ธ.ค. 62,"276,365",สุขภาพ_131.txt,สุขภาพ
ปวดท้องแบบไหน ถึงเป็น “กระเพาะอาหารอักเสบ”,https://www.sanook.com/health/5925/,26 ก.ย. 61,"276,149",สุขภาพ_132.txt,สุขภาพ
10 ขนมหวานสุดฮิต กับปริมาณแคลอรี่ที่เห็นแล้วต้องตะลึง,https://www.sanook.com/health/3985/,2 พ.ย. 60,"273,180",สุขภาพ_133.txt,สุขภาพ
วุ้นเส้น อ้วนไม่อ้วน? แคลอรี่ต่ำหรือสูงกว่าเส้นอื่นๆ กันแน่?,https://www.sanook.com/health/6761/,22 มี.ค. 62,"272,346",สุขภาพ_134.txt,สุขภาพ
“ท้องเสีย-ถ่ายเหลว” ควรใช้ยาอะไรบ้าง?,https://www.sanook.com/health/16281/,27 พ.ค. 62,"269,155",สุขภาพ_135.txt,สุขภาพ
อาหารแสลง แสลงจริงหรือแค่กลัวไปเอง?,https://www.sanook.com/health/3793/,22 มิ.ย. 61,"267,660",สุขภาพ_136.txt,สุขภาพ
หยุด! นำอาหารเหล่านี้เข้าไมโครเวฟเด็ดขาด!,https://www.sanook.com/health/2057/,14 มิ.ย. 60,"267,238",สุขภาพ_137.txt,สุขภาพ
4 กลุ่มผู้ป่วยห้ามกิน “ฟ้าทะลายโจร” เมื่อมีอาการ “เจ็บคอ”,https://www.sanook.com/health/29853/,8 ส.ค. 64,"266,930",สุขภาพ_138.txt,สุขภาพ
เจียวกู่หลาน กับ 10 สรรพคุณเด็ดน่ารู้ พร้อมข้อควรระวัง,https://www.sanook.com/health/5541/,4 ธ.ค. 60,"266,791",สุขภาพ_139.txt,สุขภาพ
3 วิธีดีท็อกซ์ ล้างพิษตับผิดๆ ที่ห้ามทำ อันตรายถึงชีวิต,https://www.sanook.com/health/4625/,26 ก.ค. 62,"265,590",สุขภาพ_140.txt,สุขภาพ
7 ประโยชน์ดีๆ ของแตงโม ลดความอ้วน-ต้านมะเร็ง,https://www.sanook.com/health/3577/,13 ต.ค. 62,"260,950",สุขภาพ_141.txt,สุขภาพ
